시점,지역,인터넷이용률(%)
2008,서울,80.1
2008,부산,74.2
2008,대구,74.1
2008,인천,80.7
2008,광주,79.6
2008,대전,77.3
2008,울산,83.6
2008,경기,82.0
2008,강원,70.2
2008,충북,71.1
2008,충남,67.7
2008,전북,70.7
2008,전남,66.5
2008,경북,66.4
2008,경남,72.0
2008,제주,71.2
2009,서울,80.6
2009,부산,75.0
2009,대구,74.7
2009,인천,81.3
2009,광주,80.2
2009,대전,78.8
2009,울산,84.0
2009,경기,82.6
2009,강원,70.7
2009,충북,71.4
2009,충남,68.4
2009,전북,70.9
2009,전남,66.6
2009,경북,67.3
2009,경남,72.2
2009,제주,72.2
2010,서울,80.9
2010,부산,75.8
2010,대구,75.9
2010,인천,81.7
2010,광주,81.0
2010,대전,80.4
2010,울산,85.0
2010,경기,82.9
2010,강원,71.2
2010,충북,72.1
2010,충남,69.7
2010,전북,72.2
2010,전남,67.8
2010,경북,68.4
2010,경남,72.5
2010,제주,73.6
2011,서울,81.1
2011,부산,75.9
2011,대구,76.0
2011,인천,81.8
2011,광주,81.0
2011,대전,80.9
2011,울산,85.0
2011,경기,82.9
2011,강원,71.2
2011,충북,72.1
2011,충남,69.8
2011,전북,72.7
2011,전남,67.9
2011,경북,68.5
2011,경남,72.6
2011,제주,73.9
2012,서울,81.5
2012,부산,76.3
2012,대구,76.5
2012,인천,82.2
2012,광주,81.4
2012,대전,81.4
2012,울산,85.7
2012,경기,83.1
2012,강원,72.1
2012,충북,72.7
2012,충남,71.1
2012,전북,73.7
2012,전남,68.5
2012,경북,69.0
2012,경남,73.2
2012,제주,74.5
2013,서울,83.2
2013,부산,84.3
2013,대구,84.7
2013,인천,82.1
2013,광주,83.0
2013,대전,87.9
2013,울산,89.5
2013,경기,84.3
2013,강원,75.8
2013,충북,80.7
2013,충남,80.3
2013,전북,73.5
2013,전남,68.2
2013,경북,76.6
2013,경남,81.9
2013,제주,80.8
2014,서울,86.2
2014,부산,83.8
2014,대구,92.1
2014,인천,82.6
2014,광주,88.1
2014,대전,83.8
2014,울산,92.7
2014,경기,84.9
2014,강원,71.5
2014,충북,75.4
2014,충남,74.0
2014,세종,70.9
2014,전북,75.5
2014,전남,73.0
2014,경북,87.5
2014,경남,82.9
2014,제주,83.8
2015,서울,86.7
2015,부산,87.2
2015,대구,91.1
2015,인천,85.7
2015,광주,90.1
2015,대전,85.3
2015,울산,95.8
2015,경기,86.1
2015,강원,74.1
2015,충북,77.8
2015,충남,76.0
2015,세종,81.5
2015,전북,78.3
2015,전남,75.5
2015,경북,86.6
2015,경남,86.0
2015,제주,85.9
2016,서울,87.9
2016,부산,92.7
2016,대구,91.7
2016,인천,88.1
2016,광주,91.4
2016,대전,90.6
2016,울산,96.6
2016,경기,88.8
2016,강원,74.6
2016,충북,87.1
2016,충남,84.7
2016,세종,91.0
2016,전북,85.6
2016,전남,81.2
2016,경북,86.6
2016,경남,90.8
2016,제주,86.3
2017,서울,90.5
2017,부산,93.3
2017,대구,93.6
2017,인천,89.0
2017,광주,93.9
2017,대전,91.8
2017,울산,97.0
2017,경기,90.3
2017,강원,83.1
2017,충북,87.8
2017,충남,89.0
2017,세종,92.4
2017,전북,89.4
2017,전남,83.6
2017,경북,89.0
2017,경남,91.0
2017,제주,86.7
2018,서울,91.4
2018,부산,92.8
2018,대구,94.9
2018,인천,91.5
2018,광주,94.5
2018,대전,94.1
2018,울산,95.2
2018,경기,91.7
2018,강원,83.7
2018,충북,91.1
2018,충남,92.2
2018,세종,95.5
2018,전북,90.2
2018,전남,85.3
2018,경북,92.3
2018,경남,90.7
2018,제주,88.9
2019,서울,92.2
2019,부산,92.8
2019,대구,98.2
2019,인천,93.2
2019,광주,91.5
2019,대전,94.7
2019,울산,93.7
2019,경기,91.1
2019,강원,84.9
2019,충북,95.6
2019,충남,95.8
2019,세종,97.9
2019,전북,85.1
2019,전남,84.3
2019,경북,94.4
2019,경남,88.7
2019,제주,88.8
2020,서울,92.3
2020,부산,93.0
2020,대구,96.5
2020,인천,91.4
2020,광주,92.0
2020,대전,94.1
2020,울산,95.9
2020,경기,92.3
2020,강원,80.6
2020,충북,95.0
2020,충남,92.3
2020,세종,99.1
2020,전북,87.4
2020,전남,86.0
2020,경북,93.3
2020,경남,89.5
2020,제주,89.1
2021,서울,93.2
2021,부산,96.1
2021,대구,93.5
2021,인천,93.9
2021,광주,95.2
2021,대전,92.1
2021,울산,97.9
2021,경기,94.3
2021,강원,82.0
2021,충북,91.5
2021,충남,91.1
2021,세종,89.4
2021,전북,89.7
2021,전남,86.6
2021,경북,91.4
2021,경남,94.9
2021,제주,87.8
2022,서울,92.0
2022,부산,95.5
2022,대구,95.6
2022,인천,93.6
2022,광주,98.6
2022,대전,93.8
2022,울산,97.9
2022,경기,93.0
2022,강원,83.1
2022,충북,93.5
2022,충남,92.3
2022,세종,89.7
2022,전북,92.7
2022,전남,85.7
2022,경북,93.9
2022,경남,94.0
2022,제주,96.0
2023,서울,93.2
2023,부산,94.8
2023,대구,98.4
2023,인천,93.6
2023,광주,96.7
2023,대전,96.8
2023,울산,97.2
2023,경기,93.2
2023,강원,90.9
2023,충북,95.4
2023,충남,95.2
2023,세종,95.6
2023,전북,93.6
2023,전남,90.6
2023,경북,94.9
2023,경남,94.7
2023,제주,89.9
