"지역별","특성별(2)",시점,인터넷이용률
"서울","소계",2012,81.5
"서울","소계",2013,83.2
"서울","소계",2014,86.2
"서울","소계",2015,86.7
"서울","소계",2016,87.9
"서울","소계",2017,90.5
"서울","소계",2018,91.4
"서울","소계",2019,92.2
"서울","소계",2020,92.3
"서울","소계",2021,93.2
"서울","소계",2022,92.0
"서울","소계",2023,93.2
"부산","소계",2012,76.3
"부산","소계",2013,84.3
"부산","소계",2014,83.8
"부산","소계",2015,87.2
"부산","소계",2016,92.7
"부산","소계",2017,93.3
"부산","소계",2018,92.8
"부산","소계",2019,92.8
"부산","소계",2020,93.0
"부산","소계",2021,96.1
"부산","소계",2022,95.5
"부산","소계",2023,94.8
"대구","소계",2012,76.5
"대구","소계",2013,84.7
"대구","소계",2014,92.1
"대구","소계",2015,91.1
"대구","소계",2016,91.7
"대구","소계",2017,93.6
"대구","소계",2018,94.9
"대구","소계",2019,98.2
"대구","소계",2020,96.5
"대구","소계",2021,93.5
"대구","소계",2022,95.6
"대구","소계",2023,98.4
"인천","소계",2012,82.2
"인천","소계",2013,82.1
"인천","소계",2014,82.6
"인천","소계",2015,85.7
"인천","소계",2016,88.1
"인천","소계",2017,89.0
"인천","소계",2018,91.5
"인천","소계",2019,93.2
"인천","소계",2020,91.4
"인천","소계",2021,93.9
"인천","소계",2022,93.6
"인천","소계",2023,93.6
"광주","소계",2012,81.4
"광주","소계",2013,83.0
"광주","소계",2014,88.1
"광주","소계",2015,90.1
"광주","소계",2016,91.4
"광주","소계",2017,93.9
"광주","소계",2018,94.5
"광주","소계",2019,91.5
"광주","소계",2020,92.0
"광주","소계",2021,95.2
"광주","소계",2022,98.6
"광주","소계",2023,96.7
"대전","소계",2012,81.4
"대전","소계",2013,87.9
"대전","소계",2014,83.8
"대전","소계",2015,85.3
"대전","소계",2016,90.6
"대전","소계",2017,91.8
"대전","소계",2018,94.1
"대전","소계",2019,94.7
"대전","소계",2020,94.1
"대전","소계",2021,92.1
"대전","소계",2022,93.8
"대전","소계",2023,96.8
"울산","소계",2012,85.7
"울산","소계",2013,89.5
"울산","소계",2014,92.7
"울산","소계",2015,95.8
"울산","소계",2016,96.6
"울산","소계",2017,97.0
"울산","소계",2018,95.2
"울산","소계",2019,93.7
"울산","소계",2020,95.9
"울산","소계",2021,97.9
"울산","소계",2022,97.9
"울산","소계",2023,97.2
"경기","소계",2012,83.1
"경기","소계",2013,84.3
"경기","소계",2014,84.9
"경기","소계",2015,86.1
"경기","소계",2016,88.8
"경기","소계",2017,90.3
"경기","소계",2018,91.7
"경기","소계",2019,91.1
"경기","소계",2020,92.3
"경기","소계",2021,94.3
"경기","소계",2022,93.0
"경기","소계",2023,93.2
"강원","소계",2012,72.1
"강원","소계",2013,75.8
"강원","소계",2014,71.5
"강원","소계",2015,74.1
"강원","소계",2016,74.6
"강원","소계",2017,83.1
"강원","소계",2018,83.7
"강원","소계",2019,84.9
"강원","소계",2020,80.6
"강원","소계",2021,82.0
"강원","소계",2022,83.1
"강원","소계",2023,90.9
"충청","충북",2012,72.7
"충청","충북",2013,80.7
"충청","충북",2014,75.4
"충청","충북",2015,77.8
"충청","충북",2016,87.1
"충청","충북",2017,87.8
"충청","충북",2018,91.1
"충청","충북",2019,95.6
"충청","충북",2020,95.0
"충청","충북",2021,91.5
"충청","충북",2022,93.5
"충청","충북",2023,95.4
"충청","충남",2012,71.1
"충청","충남",2013,80.3
"충청","충남",2014,74.0
"충청","충남",2015,76.0
"충청","충남",2016,84.7
"충청","충남",2017,89.0
"충청","충남",2018,92.2
"충청","충남",2019,95.8
"충청","충남",2020,92.3
"충청","충남",2021,91.1
"충청","충남",2022,92.3
"충청","충남",2023,95.2
"충청","세종",2014,70.9
"충청","세종",2015,81.5
"충청","세종",2016,91.0
"충청","세종",2017,92.4
"충청","세종",2018,95.5
"충청","세종",2019,97.9
"충청","세종",2020,99.1
"충청","세종",2021,89.4
"충청","세종",2022,89.7
"충청","세종",2023,95.6
"전라","전북",2012,73.7
"전라","전북",2013,73.5
"전라","전북",2014,75.5
"전라","전북",2015,78.3
"전라","전북",2016,85.6
"전라","전북",2017,89.4
"전라","전북",2018,90.2
"전라","전북",2019,85.1
"전라","전북",2020,87.4
"전라","전북",2021,89.7
"전라","전북",2022,92.7
"전라","전북",2023,93.6
"전라","전남",2012,68.5
"전라","전남",2013,68.2
"전라","전남",2014,73.0
"전라","전남",2015,75.5
"전라","전남",2016,81.2
"전라","전남",2017,83.6
"전라","전남",2018,85.3
"전라","전남",2019,84.3
"전라","전남",2020,86.0
"전라","전남",2021,86.6
"전라","전남",2022,85.7
"전라","전남",2023,90.6
"경상","경북",2012,69.0
"경상","경북",2013,76.6
"경상","경북",2014,87.5
"경상","경북",2015,86.6
"경상","경북",2016,86.6
"경상","경북",2017,89.0
"경상","경북",2018,92.3
"경상","경북",2019,94.4
"경상","경북",2020,93.3
"경상","경북",2021,91.4
"경상","경북",2022,93.9
"경상","경북",2023,94.9
"경상","경남",2012,73.2
"경상","경남",2013,81.9
"경상","경남",2014,82.9
"경상","경남",2015,86.0
"경상","경남",2016,90.8
"경상","경남",2017,91.0
"경상","경남",2018,90.7
"경상","경남",2019,88.7
