시점,인구밀도,지역별
2015.01,90.20,강원
2015.02,90.22,강원
2015.03,90.23,강원
2015.04,90.25,강원
2015.05,90.27,강원
2015.06,90.28,강원
2015.07,90.30,강원
2015.08,90.32,강원
2015.09,90.33,강원
2015.10,90.35,강원
2015.11,90.37,강원
2015.12,90.38,강원
2016.01,90.40,강원
2016.02,90.40,강원
2016.03,90.40,강원
2016.04,90.40,강원
2016.05,90.40,강원
2016.06,90.40,강원
2016.07,90.40,강원
2016.08,90.40,강원
2016.09,90.40,강원
2016.10,90.40,강원
2016.11,90.40,강원
2016.12,90.40,강원
2017.01,90.40,강원
2017.02,90.39,강원
2017.03,90.38,강원
2017.04,90.38,강원
2017.05,90.37,강원
2017.06,90.36,강원
2017.07,90.35,강원
2017.08,90.34,강원
2017.09,90.33,강원
2017.10,90.33,강원
2017.11,90.32,강원
2017.12,90.31,강원
2018.01,90.30,강원
2018.02,90.30,강원
2018.03,90.30,강원
2018.04,90.30,강원
2018.05,90.30,강원
2018.06,90.30,강원
2018.07,90.30,강원
2018.08,90.30,강원
2018.09,90.30,강원
2018.10,90.30,강원
2018.11,90.30,강원
2018.12,90.30,강원
2019.01,90.30,강원
2019.02,90.31,강원
2019.03,90.32,강원
2019.04,90.33,강원
2019.05,90.33,강원
2019.06,90.34,강원
2019.07,90.35,강원
2019.08,90.36,강원
2019.09,90.37,강원
2019.10,90.38,강원
2019.11,90.38,강원
2019.12,90.39,강원
2020.01,90.40,강원
2020.02,90.40,강원
2020.03,90.40,강원
2020.04,90.40,강원
2020.05,90.40,강원
2020.06,90.40,강원
2020.07,90.40,강원
2020.08,90.40,강원
2020.09,90.40,강원
2020.10,90.40,강원
2020.11,90.40,강원
2020.12,90.40,강원
2021.01,90.40,강원
2021.02,90.43,강원
2021.03,90.47,강원
2021.04,90.50,강원
2021.05,90.53,강원
2021.06,90.57,강원
2021.07,90.60,강원
2021.08,90.63,강원
2021.09,90.67,강원
2021.10,90.70,강원
2021.11,90.73,강원
2021.12,90.77,강원
2022.01,90.80,강원
2022.02,90.80,강원
2022.03,90.80,강원
2022.04,90.80,강원
2022.05,90.80,강원
2022.06,90.80,강원
2022.07,90.80,강원
2022.08,90.80,강원
2022.09,90.80,강원
2022.10,90.80,강원
2022.11,90.80,강원
2022.12,90.80,강원
2023.01,90.80,강원
2015.01,1226.40,경기
2015.02,1227.90,경기
2015.03,1229.40,경기
2015.04,1230.90,경기
2015.05,1232.40,경기
2015.06,1233.90,경기
2015.07,1235.40,경기
2015.08,1236.90,경기
