시점,인구밀집도,지역별
2015.01,90.200,강원
2015.02,90.217,강원
2015.03,90.233,강원
2015.04,90.250,강원
2015.05,90.267,강원
2015.06,90.283,강원
2015.07,90.300,강원
2015.08,90.317,강원
2015.09,90.333,강원
2015.10,90.350,강원
2015.11,90.367,강원
2015.12,90.383,강원
2016.01,90.400,강원
2016.02,90.400,강원
2016.03,90.400,강원
2016.04,90.400,강원
2016.05,90.400,강원
2016.06,90.400,강원
2016.07,90.400,강원
2016.08,90.400,강원
2016.09,90.400,강원
2016.10,90.400,강원
2016.11,90.400,강원
2016.12,90.400,강원
2017.01,90.400,강원
2017.02,90.392,강원
2017.03,90.383,강원
2017.04,90.375,강원
2017.05,90.367,강원
2017.06,90.358,강원
2017.07,90.350,강원
2017.08,90.342,강원
2017.09,90.333,강원
2017.10,90.325,강원
2017.11,90.317,강원
2017.12,90.308,강원
2018.01,90.300,강원
2018.02,90.300,강원
2018.03,90.300,강원
2018.04,90.300,강원
2018.05,90.300,강원
2018.06,90.300,강원
2018.07,90.300,강원
2018.08,90.300,강원
2018.09,90.300,강원
2018.10,90.300,강원
2018.11,90.300,강원
2018.12,90.300,강원
2019.01,90.300,강원
2019.02,90.308,강원
2019.03,90.317,강원
2019.04,90.325,강원
2019.05,90.333,강원
2019.06,90.342,강원
2019.07,90.350,강원
2019.08,90.358,강원
2019.09,90.367,강원
2019.10,90.375,강원
2019.11,90.383,강원
2019.12,90.392,강원
2020.01,90.400,강원
2020.02,90.400,강원
2020.03,90.400,강원
2020.04,90.400,강원
2020.05,90.400,강원
2020.06,90.400,강원
2020.07,90.400,강원
2020.08,90.400,강원
2020.09,90.400,강원
2020.10,90.400,강원
2020.11,90.400,강원
2020.12,90.400,강원
2021.01,90.400,강원
2021.02,90.433,강원
2021.03,90.467,강원
2021.04,90.500,강원
2021.05,90.533,강원
2021.06,90.567,강원
2021.07,90.600,강원
2021.08,90.633,강원
2021.09,90.667,강원
2021.10,90.700,강원
2021.11,90.733,강원
2021.12,90.767,강원
2022.01,90.800,강원
2022.02,90.800,강원
2022.03,90.800,강원
2022.04,90.800,강원
2022.05,90.800,강원
2022.06,90.800,강원
2022.07,90.800,강원
2022.08,90.800,강원
2022.09,90.800,강원
2022.10,90.800,강원
2022.11,90.800,강원
2022.12,90.800,강원
2023.01,90.800,강원
2015.01,1226.400,경기
2015.02,1227.900,경기
2015.03,1229.400,경기
2015.04,1230.900,경기
2015.05,1232.400,경기
2015.06,1233.900,경기
2015.07,1235.400,경기
2015.08,1236.900,경기
2015.09,1238.400,경기
2015.10,1239.900,경기
2015.11,1241.400,경기
2015.12,1242.900,경기
2016.01,1244.400,경기
2016.02,1245.833,경기
2016.03,1247.267,경기
2016.04,1248.700,경기
2016.05,1250.133,경기
2016.06,1251.567,경기
2016.07,1253.000,경기
2016.08,1254.433,경기
2016.09,1255.867,경기
2016.10,1257.300,경기
2016.11,1258.733,경기
2016.12,1260.167,경기
2017.01,1261.600,경기
2017.02,1263.650,경기
2017.03,1265.700,경기
2017.04,1267.750,경기
2017.05,1269.800,경기
2017.06,1271.850,경기
2017.07,1273.900,경기
2017.08,1275.950,경기
2017.09,1278.000,경기
2017.10,1280.050,경기
2017.11,1282.100,경기
2017.12,1284.150,경기
2018.01,1286.200,경기
2018.02,1287.767,경기
2018.03,1289.333,경기
2018.04,1290.900,경기
2018.05,1292.467,경기
2018.06,1294.033,경기
2018.07,1295.600,경기
2018.08,1297.167,경기
2018.09,1298.733,경기
2018.10,1300.300,경기
2018.11,1301.867,경기
2018.12,1303.433,경기
2019.01,1305.000,경기
2019.02,1306.692,경기
2019.03,1308.383,경기
2019.04,1310.075,경기
2019.05,1311.767,경기
2019.06,1313.458,경기
2019.07,1315.150,경기
2019.08,1316.842,경기
2019.09,1318.533,경기
2019.10,1320.225,경기
2019.11,1321.917,경기
2019.12,1323.608,경기
2020.01,1325.300,경기
2020.02,1326.433,경기
2020.03,1327.567,경기
2020.04,1328.700,경기
2020.05,1329.833,경기
2020.06,1330.967,경기
2020.07,1332.100,경기
2020.08,1333.233,경기
2020.09,1334.367,경기
2020.10,1335.500,경기
2020.11,1336.633,경기
2020.12,1337.767,경기
2021.01,1338.900,경기
2021.02,1339.400,경기
2021.03,1339.900,경기
2021.04,1340.400,경기
