지역별,시점,인구밀집도
서울,2015,16364.0
서울,2016,16202.2
서울,2017,16095.8
서울,2018,15983.7
서울,2019,15926.9
서울,2020,15839.0
서울,2021,15650.1
서울,2022,15560.7
서울,2023,15506.4
부산,2015,4479.9
부산,2016,4468.8
부산,2017,4437.4
부산,2018,4409.8
부산,2019,4379.7
부산,2020,4348.9
부산,2021,4316.4
부산,2022,4272.8
부산,2023,4252.0
대구,2015,2791.0
대구,2016,2785.3
대구,2017,2776.2
대구,2018,2766.7
대구,2019,2750.3
대구,2020,2728.6
대구,2021,2702.2
대구,2022,2673.7
대구,2023,1586.7
인천,2015,2755.5
인천,2016,2741.4
인천,2017,2752.3
인천,2018,2761.4
인천,2019,2776.6
인천,2020,2765.1
인천,2021,2772.8
인천,2022,2801.3
인천,2023,2835.7
광주,2015,2998.8
광주,2016,2995.7
광주,2017,2985.3
광주,2018,2973.2
광주,2019,2972.7
광주,2020,2948.5
광주,2021,2944.0
광주,2022,2931.9
광주,2023,2908.5
대전,2015,2852.3
대전,2016,2846.9
대전,2017,2828.5
대전,2018,2801.0
대전,2019,2777.5
대전,2020,2758.1
대전,2021,2742.8
대전,2022,2730.7
대전,2023,2724.0
울산,2015,1099.6
울산,2016,1099.2
울산,2017,1090.4
울산,2018,1083.4
울산,2019,1076.9
울산,2020,1069.0
울산,2021,1055.0
울산,2022,1044.9
울산,2023,1042.0
세종,2015,439.0
세종,2016,521.7
세종,2017,595.0
세종,2018,671.9
세종,2019,727.3
세종,2020,761.3
세종,2021,787.7
세종,2022,822.9
세종,2023,830.7
경기,2015,1226.4
경기,2016,1244.4
경기,2017,1261.6
경기,2018,1286.2
경기,2019,1305.0
경기,2020,1325.3
경기,2021,1338.9
경기,2022,1344.9
경기,2023,1354.5
강원,2015,90.2
강원,2016,90.4
강원,2017,90.4
강원,2018,90.3
강원,2019,90.3
강원,2020,90.4
강원,2021,90.4
강원,2022,90.8
강원,2023,90.8
충청,2015,471.20000000000005
충청,2016,475.7
충청,2017,480.4
충청,2018,483.90000000000003
충청,2019,485.4
충청,2020,484.3
충청,2021,483.20000000000005
충청,2022,485.29999999999995
충청,2023,490.29999999999995
전라,2015,373.5
전라,2016,373.0
전라,2017,371.6
전라,2018,370.3
전라,2019,368.8
전라,2020,368.3
전라,2021,365.3
전라,2022,363.1
전라,2023,362.79999999999995
경상,2015,457.2
경상,2016,457.79999999999995
경상,2017,458.09999999999997
경상,2018,458.29999999999995
경상,2019,457.8
경상,2020,455.1
경상,2021,452.0
경상,2022,448.9
경상,2023,450.9
제주,2015,327.5
제주,2016,337.1
제주,2017,346.9
제주,2018,355.8
제주,2019,359.4
제주,2020,362.6
제주,2021,363.8
제주,2022,365.6
제주,2023,365.8
