"시점","시도별",데이터
"2001","서울특별시",4116
"2001","부산광역시",1215
"2001","대구광역시",926
"2001","인천광역시",989
"2001","광주광역시",688
"2001","대전광역시",683
"2001","울산광역시",411
"2001","경기도",4835
"2001","강원특별자치도",617
"2001","충청북도",656
"2001","충청남도",823
"2001","전북특별자치도",878
"2001","전라남도",639
"2001","경상북도",950
"2001","경상남도",1355
"2001","제주특별자치도",316
"2002","서울특별시",4348
"2002","부산광역시",1301
"2002","대구광역시",965
"2002","인천광역시",1024
"2002","광주광역시",776
"2002","대전광역시",746
"2002","울산광역시",469
"2002","경기도",5572
"2002","강원특별자치도",680
"2002","충청북도",694
"2002","충청남도",885
"2002","전북특별자치도",987
"2002","전라남도",723
"2002","경상북도",1059
"2002","경상남도",1585
"2002","제주특별자치도",333
"2003","서울특별시",4573
"2003","부산광역시",1412
"2003","대구광역시",1060
"2003","인천광역시",1115
"2003","광주광역시",868
"2003","대전광역시",799
"2003","울산광역시",528
"2003","경기도",6235
"2003","강원특별자치도",733
"2003","충청북도",763
"2003","충청남도",981
"2003","전북특별자치도",1079
"2003","전라남도",778
"2003","경상북도",1162
"2003","경상남도",1694
"2003","제주특별자치도",362
"2004","서울특별시",5035
"2004","부산광역시",1529
"2004","대구광역시",1182
"2004","인천광역시",1235
"2004","광주광역시",1000
"2004","대전광역시",897
"2004","울산광역시",594
"2004","경기도",7133
"2004","강원특별자치도",755
"2004","충청북도",850
"2004","충청남도",1074
"2004","전북특별자치도",1146
"2004","전라남도",865
"2004","경상북도",1301
"2004","경상남도",1903
"2004","제주특별자치도",404
"2005","서울특별시",5328
"2005","부산광역시",1603
"2005","대구광역시",1237
"2005","인천광역시",1355
"2005","광주광역시",1069
"2005","대전광역시",977
"2005","울산광역시",604
"2005","경기도",7476
"2005","강원특별자치도",769
"2005","충청북도",887
"2005","충청남도",1113
"2005","전북특별자치도",1203
"2005","전라남도",938
"2005","경상북도",1361
"2005","경상남도",2031
"2005","제주특별자치도",416
"2006","서울특별시",5508
"2006","부산광역시",1592
"2006","대구광역시",1239
"2006","인천광역시",1385
"2006","광주광역시",1050
"2006","대전광역시",1072
"2006","울산광역시",580
"2006","경기도",7864
"2006","강원특별자치도",788
"2006","충청북도",854
"2006","충청남도",1153
"2006","전북특별자치도",1275
"2006","전라남도",974
"2006","경상북도",1399
"2006","경상남도",2080
"2006","제주특별자치도",420
"2007","서울특별시",5532
"2007","부산광역시",1614
"2007","대구광역시",1285
"2007","인천광역시",1531
"2007","광주광역시",1045
"2007","대전광역시",1185
"2007","울산광역시",573
"2007","경기도",8691
"2007","강원특별자치도",832
"2007","충청북도",879
"2007","충청남도",1215
"2007","전북특별자치도",1298
"2007","전라남도",1002
"2007","경상북도",1533
"2007","경상남도",2212
"2007","제주특별자치도",429
"2008","서울특별시",5600
"2008","부산광역시",1651
"2008","대구광역시",1426
"2008","인천광역시",1652
"2008","광주광역시",1096
"2008","대전광역시",1318
"2008","울산광역시",609
"2008","경기도",9712
"2008","강원특별자치도",885
"2008","충청북도",950
"2008","충청남도",1344
"2008","전북특별자치도",1479
"2008","전라남도",1054
"2008","경상북도",1708
"2008","경상남도",2539
"2008","제주특별자치도",476
"2009","서울특별시",5684
"2009","부산광역시",1655
"2009","대구광역시",1500
"2009","인천광역시",1773
"2009","광주광역시",1153
"2009","대전광역시",1417
"2009","울산광역시",660
"2009","경기도",10465
"2009","강원특별자치도",926
"2009","충청북도",1037
"2009","충청남도",1470
"2009","전북특별자치도",1506
"2009","전라남도",1114
"2009","경상북도",1827
"2009","경상남도",2861
"2009","제주특별자치도",502
"2010","서울특별시",5870
"2010","부산광역시",1689
"2010","대구광역시",1544
"2010","인천광역시",1857
"2010","광주광역시",1192
"2010","대전광역시",1535
"2010","울산광역시",754
"2010","경기도",11273
"2010","강원특별자치도",1085
"2010","충청북도",1112
"2010","충청남도",1687
"2010","전북특별자치도",1531
"2010","전라남도",1135
"2010","경상북도",1998
"2010","경상남도",3234
"2010","제주특별자치도",525
"2011","서울특별시",6105
"2011","부산광역시",1740
"2011","대구광역시",1561
"2011","인천광역시",1998
"2011","광주광역시",1205
"2011","대전광역시",1599
"2011","울산광역시",818
"2011","경기도",11825
"2011","강원특별자치도",1147
"2011","충청북도",1133
"2011","충청남도",1857
"2011","전북특별자치도",1580
"2011","전라남도",1161
"2011","경상북도",2162
"2011","경상남도",3399
"2011","제주특별자치도",552
"2012","서울특별시",6538
"2012","부산광역시",1830
"2012","대구광역시",1580
"2012","인천광역시",2181
"2012","광주광역시",1239
"2012","대전광역시",1659
"2012","울산광역시",893
"2012","세종특별자치시",106
"2012","경기도",12869
"2012","강원특별자치도",1244
"2012","충청북도",1179
"2012","충청남도",1991
"2012","전북특별자치도",1620
"2012","전라남도",1188
"2012","경상북도",2264
"2012","경상남도",3562
"2012","제주특별자치도",584
"2013","서울특별시",6742
"2013","부산광역시",1897
"2013","대구광역시",1590
"2013","인천광역시",2263
"2013","광주광역시",1251
"2013","대전광역시",1680
"2013","울산광역시",933
"2013","세종특별자치시",118
"2013","경기도",13364
"2013","강원특별자치도",1265
"2013","충청북도",1212
"2013","충청남도",2083
"2013","전북특별자치도",1647
"2013","전라남도",1222
"2013","경상북도",2273
"2013","경상남도",3626
"2013","제주특별자치도",604
"2014","서울특별시",6787
"2014","부산광역시",1957
"2014","대구광역시",1588
"2014","인천광역시",2308
"2014","광주광역시",1260
"2014","대전광역시",1698
"2014","울산광역시",946
"2014","세종특별자치시",160
"2014","경기도",13259
"2014","강원특별자치도",1257
"2014","충청북도",1229
"2014","충청남도",2053
"2014","전북특별자치도",1654
"2014","전라남도",1242
"2014","경상북도",2212
"2014","경상남도",3533
"2014","제주특별자치도",599
"2015","서울특별시",6598
"2015","부산광역시",1971
"2015","대구광역시",1539
"2015","인천광역시",2278
"2015","광주광역시",1264
"2015","대전광역시",1669
"2015","울산광역시",934
"2015","세종특별자치시",216
"2015","경기도",12689
"2015","강원특별자치도",1227
"2015","충청북도",1230
"2015","충청남도",1988
"2015","전북특별자치도",1623
"2015","전라남도",1238
"2015","경상북도",2130
"2015","경상남도",3349
"2015","제주특별자치도",574
"2016","서울특별시",6368
"2016","부산광역시",1937
"2016","대구광역시",1483
"2016","인천광역시",2231
"2016","광주광역시",1238
"2016","대전광역시",1584
"2016","울산광역시",895
"2016","세종특별자치시",250
"2016","경기도",12120
"2016","강원특별자치도",1180
"2016","충청북도",1208
"2016","충청남도",1974
"2016","전북특별자치도",1562
"2016","전라남도",1251
"2016","경상북도",2102
"2016","경상남도",3158
"2016","제주특별자치도",543
"2017","서울특별시",6226
"2017","부산광역시",1920
"2017","대구광역시",1464
"2017","인천광역시",2186
"2017","광주광역시",1240
"2017","대전광역시",1505
"2017","울산광역시",881
"2017","세종특별자치시",289
"2017","경기도",11825
"2017","강원특별자치도",1149
"2017","충청북도",1186
"2017","충청남도",1955
"2017","전북특별자치도",1497
"2017","전라남도",1241
"2017","경상북도",2063
"2017","경상남도",3084
"2017","제주특별자치도",527
"2018","서울특별시",6008
"2018","부산광역시",1891
"2018","대구광역시",1405
"2018","인천광역시",2141
"2018","광주광역시",1195
"2018","대전광역시",1406
"2018","울산광역시",868
"2018","세종특별자치시",343
"2018","경기도",11682
"2018","강원특별자치도",1086
"2018","충청북도",1157
"2018","충청남도",1916
"2018","전북특별자치도",1397
"2018","전라남도",1205
"2018","경상북도",1976
"2018","경상남도",2982
"2018","제주특별자치도",513
"2019","서울특별시",5698
"2019","부산광역시",1848
"2019","대구광역시",1322
"2019","인천광역시",2049
"2019","광주광역시",1122
"2019","대전광역시",1288
"2019","울산광역시",842
"2019","세종특별자치시",359
"2019","경기도",11305
"2019","강원특별자치도",1036
"2019","충청북도",1130
"2019","충청남도",1812
"2019","전북특별자치도",1288
"2019","전라남도",1147
"2019","경상북도",1844
"2019","경상남도",2777
"2019","제주특별자치도",504
"2020","서울특별시",5370
"2020","부산광역시",1778
"2020","대구광역시",1268
"2020","인천광역시",1943
"2020","광주광역시",1072
"2020","대전광역시",1185
"2020","울산광역시",790
"2020","세종특별자치시",350
"2020","경기도",10761
"2020","강원특별자치도",999
"2020","충청북도",1082
"2020","충청남도",1717
"2020","전북특별자치도",1195
"2020","전라남도",1084
"2020","경상북도",1725
"2020","경상남도",2544
"2020","제주특별자치도",489
"2021","서울특별시",5049
"2021","부산광역시",1668
"2021","대구광역시",1187
"2021","인천광역시",1803
"2021","광주광역시",1002
"2021","대전광역시",1101
"2021","울산광역시",720
"2021","세종특별자치시",343
"2021","경기도",10136
"2021","강원특별자치도",954
"2021","충청북도",1042
"2021","충청남도",1625
"2021","전북특별자치도",1115
"2021","전라남도",1051
"2021","경상북도",1617
"2021","경상남도",2357
"2021","제주특별자치도",476
"2022","서울특별시",4712
"2022","부산광역시",1547
"2022","대구광역시",1139
"2022","인천광역시",1697
"2022","광주광역시",940
"2022","대전광역시",1013
"2022","울산광역시",656
"2022","세종특별자치시",327
"2022","경기도",9438
"2022","강원특별자치도",906
"2022","충청북도",972
"2022","충청남도",1516
